"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"08.12.2008 14:37";"20.1";"51";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:38";"20.1";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:39";"20.1";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:40";"20.1";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:41";"20.1";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:42";"20.1";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:43";"20.1";"52";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:44";"20.1";"52";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:45";"20.1";"52";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:46";"20.1";"52";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:47";"20.0";"52";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:48";"20.1";"52";"6.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:49";"20.0";"52";"6.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:50";"20.0";"52";"6.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:51";"20.0";"52";"6.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:52";"20.0";"52";"6.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:53";"20.0";"52";"7.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:54";"20.0";"52";"7.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:55";"20.0";"52";"7.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:56";"20.0";"52";"7.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:57";"20.0";"52";"7.0";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:58";"20.0";"52";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 14:59";"20.0";"52";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:00";"20.0";"52";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:01";"20.0";"52";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:02";"20.0";"52";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:03";"20.0";"52";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:04";"20.0";"52";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:05";"20.0";"52";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:06";"20.0";"52";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:07";"20.0";"52";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:08";"20.0";"52";"7.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:09";"20.0";"52";"7.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:10";"20.0";"52";"7.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:11";"20.0";"52";"7.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:12";"20.0";"52";"7.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:13";"20.0";"52";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:14";"20.0";"52";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:15";"20.0";"52";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:16";"20.0";"52";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:17";"20.0";"52";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:18";"20.0";"52";"6.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:19";"20.0";"52";"6.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:20";"20.0";"52";"6.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:21";"20.0";"52";"6.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:22";"20.0";"52";"6.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:23";"20.0";"52";"6.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:24";"20.0";"52";"6.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:25";"20.0";"52";"6.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:26";"20.0";"52";"6.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:27";"20.0";"52";"6.9";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:28";"20.0";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:29";"20.0";"52";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:30";"20.0";"53";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:31";"20.0";"53";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:32";"20.0";"53";"7.2";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:33";"20.0";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:34";"20.0";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:35";"20.0";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:36";"20.0";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:37";"20.0";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:38";"20.1";"53";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:39";"20.0";"53";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:40";"20.1";"53";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:41";"20.0";"53";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:42";"20.0";"53";"7.7";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:43";"20.1";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:44";"20.0";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
